"DMA_ID","DB_ID","DMA_NUMBER","DESCRIPTION","DMA_ABBREV","DMA_SHORT_NAME","PSEUDO_DMA_TYPE","ACTUAL_DMA_ID","SERVED_STATUS","CAMC_MARKET_ID","MPG_MARKET_ID","ACCOUNTS","A3_ONLY_FLAG","MPEG4_ONLY_FLAG","LILN_PSEUDO_TABLE_FLAG","INACTIVE_FLAG","SENT_TO_CAMC_FLAG","NOTES","LAST_MOD_DATE","IS_DELETED","BILLING_SYSTEM"
37,0,345,"Unserved - Fairbanks AK","","","",234,3,,,9,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
38,0,347,"Unserved - Juneau AK","","","",236,3,,,0,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
39,0,350,"Oklahoma City OK - Fringe Locals","","","Special",193,5,,,0,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
40,0,351,"Unserved - Denver CO","","","",238,3,,,1282,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
41,0,353,"Phoenix AZ - Fringe Locals","","","Special",240,5,,,1,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
42,0,355,"Unserved - Great Falls MT","","","",242,3,,,222,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
43,0,357,"Unserved - Boise ID","","","Special",244,3,0,,30,0,0,0,0,1,"",11/21/2013 10:12:13.763000000 PM,0,0
44,0,358,"Unserved - Idaho Falls-Pocatello ID","","","",245,3,,,88,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
45,0,370,"Unserved - Salt Lake City UT","","","",253,3,,,0,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
46,0,371,"Unserved - Yuma AZ","","","",254,3,,,37,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
47,0,378,"Wichita-Hutchinson KS - No HD Locals","","","",208,1,,,0,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
48,0,390,"Albuquerque-Santa Fe NM - No HD Locals","","","",257,1,,,0,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
49,0,403,"Los Angeles CA - Limited HD Locals","","","",262,2,,,3241,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
50,0,411,"Reno NV - HD Only Locals","","","",266,4,0,,1267,0,0,0,0,1,"",03/20/2017 10:50:55.829000000 PM,0,0
51,0,412,"Reno NV - No HD Locals","","","",266,1,,,0,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
52,0,413,"Medford-Klamath Falls OR - HD Only Locals","","","",267,4,0,,7,0,0,1,0,1,"",06/22/2015 06:39:24.004000000 PM,0,0
53,0,419,"Seattle-Tacoma WA - No HD Locals","","","",268,1,,,0,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
54,0,420,"Portland OR - No HD Locals","","","",269,1,,,0,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
55,0,422,"Unserved - Lincoln-Hastings NE","","","",225,3,,,163,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
56,0,424,"Fargo-Valley City ND - No HD Locals","","","",226,1,0,,967,0,0,1,0,1,"",10/14/2014 07:13:17.928000000 PM,0,0
57,0,432,"Albany-Schenectady-Troy NY - Fringe Locals","","","Special",101,5,0,,167,0,0,1,0,1,"",04/01/2014 08:56:26.948000000 PM,0,0
58,0,439,"Las Vegas NV - Fringe Locals","","","Special",273,5,,,260,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
59,0,443,"Anchorage AK - Fringe Locals","","","Special",232,0,0,,2879,0,1,1,0,1,"",04/16/2013 09:08:36.986000000 PM,0,0
60,0,451,"Denver CO - No HD Locals","","","",238,1,,,508,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
61,0,452,"Denver CO - Fringe Locals","","","Special",238,5,0,,25,0,0,1,0,1,"",04/01/2014 09:06:52.411000000 PM,0,0
62,0,457,"Boise ID - Fringe Locals","","","Special",244,5,0,,299,0,1,1,0,1,"",08/23/2012 09:27:11.787000000 PM,0,0
63,0,468,"Chico-Redding CA - HD Only Locals","","","",277,4,0,,275,0,0,0,0,1,"",03/20/2017 10:51:15.731000000 PM,0,0
64,0,470,"Salt Lake City UT - No HD Locals","","","",253,1,,,0,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
65,0,471,"Salt Lake City UT - Fringe Locals","","","Special",253,5,,,0,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
66,0,473,"Roanoke-Lynchburg VA - No HD Locals","","","",139,1,0,,0,0,0,0,1,1,"",01/20/2015 07:01:03.458000000 PM,1,0
67,0,478,"Wichita-Hutchinson KS - Fringe Locals","","","Special",208,5,,,0,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
68,0,490,"Albuquerque-Santa Fe NM - Fringe Locals","","","Special",257,5,,,0,0,0,1,0,1,"",05/24/2012 10:08:56.076000000 PM,1,0
69,0,500,"Portland-Auburn ME","PL","Portland, ME","",,0,87,151,25386,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
70,0,501,"New York NY","NY","New York","",,0,12,134,241907,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
71,0,502,"Binghamton NY","BH","Binghampton","",,0,119,21,9483,0,1,0,0,1,"",06/28/2013 07:24:20.231000000 PM,0,0
72,0,503,"Macon GA","MC","Macon","",,0,167,116,33146,0,1,0,0,1,"",08/12/2013 07:25:25.409000000 PM,0,0
73,0,504,"Philadelphia PA","PH","Philadelphia","",,0,14,147,113617,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
74,0,505,"Detroit MI","DT","Detroit","",,0,7,56,144691,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
75,0,506,"Boston MA","BN","Boston","",,0,2,25,67036,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
76,0,507,"Savannah GA","SV","Savannah, GA","",,0,91,171,38383,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
77,0,508,"Pittsburgh PA","PI","Pittsburgh","",,0,37,149,66619,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
78,0,509,"Fort Wayne IN","FW","Ft. Wayne (IND)","",,0,144,71,20314,0,1,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
79,0,510,"Cleveland OH","CL","Cleveland","",,0,4,43,138693,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
80,0,511,"Washington DC - Hagerstown MD","DC","Washington, DC","",,0,21,199,138733,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
81,0,512,"Baltimore MD","BA","Baltimore","",,0,26,14,57149,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
82,0,513,"Flint-Saginaw-Bay City MI","FL","Flint","",,0,73,67,36743,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
83,0,514,"Buffalo NY","BF","Buffalo","",,0,45,27,45172,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
84,0,515,"Cincinnati OH","CN","Cincinnati","",,0,29,41,75255,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
85,0,516,"Erie PA","ER","Erie, PA","",,0,138,61,11670,0,1,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
86,0,517,"Charlotte NC","CT","Charlotte","",,0,28,35,141839,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
87,0,518,"Greensboro - Winston-Salem NC","GB","Greensboro","",,0,31,79,72078,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
88,0,519,"Charleston SC","CA","Charleston","",,0,128,33,39662,0,1,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
89,0,520,"Augusta GA","AG","Augusta (GA)","",,0,113,11,32294,0,1,0,0,1,"",06/28/2013 10:19:13.982000000 PM,0,0
90,0,521,"Providence RI-New Bedford MA","PR","Providence","",,0,44,153,16804,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
91,0,522,"Columbus GA","CU","Columbus GA","",,0,134,47,22139,0,1,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
92,0,523,"Burlington VT-Plattsburgh NY","BL","Burlington, VT","",,0,123,28,21298,0,1,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
93,0,524,"Atlanta GA","AT","Atlanta","",,0,1,10,319726,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
94,0,525,"Albany GA","AY","Albany, GA","",,0,108,2,14891,0,1,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
95,0,526,"Utica NY","UT","Utica, NY","",,0,200,196,6736,0,1,0,0,1,"",11/20/2015 06:24:05.878000000 PM,0,0
96,0,527,"Indianapolis IN","IN","Indianapolis","",,0,32,93,129409,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
97,0,528,"Miami-Ft Lauderdale FL","MI","Miami","",,0,10,123,188844,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
98,0,529,"Louisville KY","LO","Louisville","",,0,60,114,77501,0,0,0,0,1,"",05/24/2012 10:08:56.076000000 PM,0,0
99,0,530,"Tallahassee FL","TH","Tallahassee","",,0,94,184,28396,0,0,0,0,1,"",03/30/2017 09:52:12.360000000 PM,0,0
