"COUNTY_ID","DB_ID","STATE_ID","NAME","SIZE_CODE","ACCOUNTS","USPS_STATE_CODE"
105,0,1,"HOONAH CITY",0,0,"502"
106,0,1,"HYDABURG CITY",0,0,"514"
107,0,1,"KAKE CITY",0,0,"517"
108,0,1,"KLAWOCK CITY",0,0,"529"
109,0,1,"METLAKATLA CITY",0,0,"562"
110,0,1,"PELICAN CITY",0,10,"598"
111,0,1,"PETERSBURG CITY",0,90,"601"
112,0,1,"THORNE BAY CITY",0,72,"670"
113,0,1,"WRANGELL CITY",0,0,"706"
114,0,1,"YAKUTAT CITY",0,1,"709"
115,0,4,"VIP",0,1,"000"
116,0,4,"APACHE",9,5867,"001"
117,0,4,"COCHISE",8,5483,"003"
118,0,4,"COCONINO",8,9003,"005"
119,0,4,"GILA",9,5873,"007"
120,0,4,"GRAHAM",9,1667,"009"
121,0,4,"GREENLEE",9,395,"011"
122,0,4,"LA PAZ",9,2845,"012"
123,0,4,"MARICOPA",6,185679,"013"
124,0,4,"MOHAVE",7,15611,"015"
125,0,4,"NAVAJO",8,5009,"017"
126,0,4,"PIMA",7,36873,"019"
127,0,4,"PINAL",6,27088,"021"
128,0,4,"SANTA CRUZ",9,2402,"023"
129,0,4,"YAVAPAI",8,16442,"025"
130,0,4,"YUMA",8,7802,"027"
131,0,3,"VIP",0,1,"000"
132,0,3,"ARKANSAS",9,561,"001"
133,0,3,"ASHLEY",9,1052,"003"
134,0,3,"BAXTER",9,1949,"005"
135,0,3,"BENTON",8,18396,"007"
136,0,3,"BOONE",9,714,"009"
137,0,3,"BRADLEY",9,448,"011"
138,0,3,"CALHOUN",9,1673,"013"
139,0,3,"CARROLL",9,912,"015"
140,0,3,"CHICOT",9,291,"017"
141,0,3,"CLARK",9,1085,"019"
142,0,3,"CLAY",9,709,"021"
143,0,3,"CLEBURNE",9,1947,"023"
144,0,3,"CLEVELAND",9,1052,"025"
145,0,3,"COLUMBIA",9,703,"027"
146,0,3,"CONWAY",9,1327,"029"
147,0,3,"CRAIGHEAD",8,4197,"031"
148,0,3,"CRAWFORD",8,3115,"033"
149,0,3,"CRITTENDEN",7,2593,"035"
150,0,3,"CROSS",9,1566,"037"
151,0,3,"DALLAS",9,383,"039"
152,0,3,"DESHA",9,1158,"041"
153,0,3,"DREW",9,873,"043"
154,0,3,"FAULKNER",7,4885,"045"
155,0,3,"FRANKLIN",9,1782,"047"
156,0,3,"FULTON",9,1257,"049"
157,0,3,"GARLAND",8,2126,"051"
158,0,3,"GRANT",9,1635,"053"
